epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,2089.54,1.0411,1.07404,1.27481,0.94624,0.66518,0.81356,0.63118,1.10965,0.80504,1.32149,0.005743,0.005743,0.005743
45,2139.93,1.03897,1.05475,1.27131,0.93907,0.6832,0.81837,0.62134,1.12047,0.81341,1.33766,0.005644,0.005644,0.005644
46,2185.62,1.02823,1.04602,1.26434,0.94251,0.6844,0.82337,0.63151,1.11811,0.81795,1.3337,0.005545,0.005545,0.005545
47,2231.16,1.02178,1.02247,1.25555,0.9393,0.6995,0.83076,0.63477,1.12676,0.78984,1.33699,0.005446,0.005446,0.005446
48,2276.87,1.02032,1.02078,1.25548,0.95066,0.72202,0.8451,0.6376,1.1255,0.78712,1.34148,0.005347,0.005347,0.005347
49,2322.25,1.01449,1.01726,1.25834,0.93836,0.72659,0.84666,0.6474,1.11717,0.77715,1.33624,0.005248,0.005248,0.005248
50,2373.63,1.00435,0.99591,1.24389,0.94526,0.69361,0.82934,0.63953,1.11269,0.76757,1.32964,0.005149,0.005149,0.005149
51,2421.58,0.99875,0.99313,1.24713,0.9391,0.69651,0.82901,0.64326,1.10025,0.76687,1.32236,0.00505,0.00505,0.00505
52,2467.81,0.9982,0.99202,1.24104,0.94441,0.71382,0.84013,0.65015,1.09009,0.75088,1.31569,0.004951,0.004951,0.004951
53,2511.13,0.98346,0.97541,1.23435,0.94427,0.73205,0.84994,0.65514,1.09568,0.7446,1.32574,0.004852,0.004852,0.004852
54,2554.66,0.98705,0.96645,1.23331,0.95109,0.72771,0.84673,0.65872,1.08568,0.72859,1.3091,0.004753,0.004753,0.004753
55,2597.46,0.97891,0.96481,1.23137,0.94796,0.74426,0.85432,0.66063,1.09278,0.73447,1.30821,0.004654,0.004654,0.004654
56,2640.07,0.97085,0.94458,1.22162,0.94162,0.75378,0.85722,0.66231,1.07926,0.72505,1.2996,0.004555,0.004555,0.004555
57,2682.92,0.96062,0.94196,1.21952,0.94889,0.73702,0.8503,0.6602,1.08003,0.71633,1.29418,0.004456,0.004456,0.004456
58,2725.3,0.97216,0.94798,1.23051,0.95443,0.73171,0.84999,0.66211,1.08952,0.72874,1.3083,0.004357,0.004357,0.004357
59,2768.22,0.95244,0.92579,1.21766,0.94779,0.72592,0.8457,0.65903,1.07042,0.72566,1.29632,0.004258,0.004258,0.004258
60,2811.28,0.94515,0.91563,1.21164,0.95424,0.74948,0.85851,0.66841,1.06433,0.70992,1.29463,0.004159,0.004159,0.004159
61,2853.93,0.94944,0.90799,1.21176,0.94597,0.753,0.85692,0.66999,1.07074,0.71033,1.29802,0.00406,0.00406,0.00406
62,2896.8,0.94781,0.91504,1.21118,0.95257,0.75169,0.85924,0.66739,1.07644,0.71625,1.30199,0.003961,0.003961,0.003961
63,2939.73,0.94997,0.9135,1.21139,0.94936,0.7495,0.858,0.66859,1.07057,0.70562,1.28805,0.003862,0.003862,0.003862
64,2982.33,0.93725,0.89244,1.20101,0.94917,0.76122,0.86356,0.67338,1.0738,0.70206,1.29521,0.003763,0.003763,0.003763
65,3025.08,0.92858,0.87919,1.19658,0.94157,0.75329,0.85697,0.67035,1.07347,0.69853,1.29761,0.003664,0.003664,0.003664
66,3067.98,0.92492,0.88528,1.19752,0.94578,0.76128,0.8614,0.6691,1.07054,0.70881,1.29707,0.003565,0.003565,0.003565
67,3110.24,0.91427,0.86493,1.18932,0.95414,0.76357,0.86747,0.67914,1.05683,0.68603,1.28225,0.003466,0.003466,0.003466
68,3153.21,0.9173,0.86314,1.18801,0.94874,0.77422,0.87194,0.67953,1.05641,0.68038,1.27733,0.003367,0.003367,0.003367
69,3195.78,0.91228,0.8519,1.18408,0.94831,0.76906,0.8697,0.67877,1.06587,0.6811,1.29232,0.003268,0.003268,0.003268
70,3238.3,0.90557,0.83834,1.17707,0.94565,0.76906,0.86771,0.67886,1.05765,0.69145,1.28537,0.003169,0.003169,0.003169
71,3280.99,0.89349,0.82893,1.16975,0.94989,0.76996,0.86886,0.67923,1.07189,0.68322,1.30152,0.00307,0.00307,0.00307
72,3323.37,0.88867,0.82811,1.17479,0.9413,0.77659,0.87061,0.67659,1.06609,0.68143,1.29366,0.002971,0.002971,0.002971
73,3366.05,0.89269,0.83753,1.17246,0.94665,0.77862,0.87242,0.67741,1.06132,0.67687,1.28769,0.002872,0.002872,0.002872
74,3408.4,0.89154,0.81808,1.17124,0.95239,0.78665,0.87723,0.68154,1.05375,0.66991,1.28026,0.002773,0.002773,0.002773
75,3451.37,0.88814,0.819,1.1708,0.94843,0.78002,0.8758,0.68229,1.05088,0.66424,1.27555,0.002674,0.002674,0.002674
76,3494.11,0.8732,0.81285,1.1633,0.94611,0.78359,0.87712,0.6827,1.05471,0.66479,1.27876,0.002575,0.002575,0.002575
77,3537.01,0.87559,0.79663,1.16777,0.94398,0.78677,0.8774,0.68532,1.05324,0.66186,1.28003,0.002476,0.002476,0.002476
78,3579.89,0.86932,0.79272,1.16028,0.94913,0.79204,0.881,0.68802,1.05133,0.65784,1.27667,0.002377,0.002377,0.002377
79,3622.73,0.85807,0.78737,1.15231,0.95079,0.78841,0.88039,0.68553,1.04879,0.64916,1.2786,0.002278,0.002278,0.002278
80,3665.52,0.84287,0.76516,1.1458,0.95068,0.79621,0.8845,0.68965,1.04791,0.64636,1.28042,0.002179,0.002179,0.002179
81,3708.41,0.85996,0.77465,1.15381,0.94801,0.79399,0.8818,0.68862,1.04709,0.65139,1.27636,0.00208,0.00208,0.00208
82,3751.5,0.85257,0.769,1.14843,0.94713,0.79673,0.88258,0.68833,1.04872,0.65513,1.2759,0.001981,0.001981,0.001981
83,3794.38,0.84872,0.75957,1.14958,0.94733,0.79407,0.88145,0.68882,1.04917,0.65712,1.27463,0.001882,0.001882,0.001882
84,3837.28,0.84179,0.75814,1.14381,0.93875,0.79409,0.87973,0.6866,1.04939,0.66079,1.27348,0.001783,0.001783,0.001783
85,3880.08,0.82964,0.74232,1.13441,0.94234,0.78796,0.87859,0.68672,1.0501,0.65336,1.27516,0.001684,0.001684,0.001684
86,3922.84,0.83708,0.74562,1.13802,0.94664,0.7923,0.8807,0.68825,1.05341,0.65412,1.27884,0.001585,0.001585,0.001585
87,3965.26,0.8233,0.73583,1.13132,0.94344,0.79514,0.88167,0.68922,1.05455,0.65028,1.28269,0.001486,0.001486,0.001486
88,4007.75,0.82579,0.73537,1.13525,0.94165,0.7953,0.88182,0.68827,1.05363,0.65022,1.28075,0.001387,0.001387,0.001387
89,4050.46,0.81722,0.73256,1.13095,0.94144,0.80042,0.88434,0.68834,1.0537,0.64572,1.28471,0.001288,0.001288,0.001288
90,4093.17,0.81886,0.71869,1.12692,0.94054,0.8008,0.8839,0.69014,1.05249,0.65195,1.283,0.001189,0.001189,0.001189
91,4161.53,0.72394,0.50735,1.07067,0.94481,0.79639,0.88207,0.68897,1.05024,0.64992,1.28112,0.00109,0.00109,0.00109
92,4203.85,0.70674,0.48091,1.06241,0.94627,0.79861,0.88325,0.69018,1.04782,0.64886,1.27837,0.000991,0.000991,0.000991
93,4245.56,0.68964,0.46955,1.0492,0.94508,0.79709,0.88113,0.69243,1.04721,0.64458,1.27688,0.000892,0.000892,0.000892
94,4287.45,0.68659,0.46213,1.04441,0.94689,0.79788,0.88231,0.69344,1.04236,0.64195,1.2717,0.000793,0.000793,0.000793
95,4329.83,0.67845,0.46282,1.04159,0.94318,0.80151,0.88384,0.69353,1.03981,0.63894,1.27096,0.000694,0.000694,0.000694
96,4372.1,0.67092,0.45338,1.03805,0.94051,0.80471,0.88552,0.69504,1.03605,0.63939,1.26702,0.000595,0.000595,0.000595
97,4414.03,0.65723,0.44369,1.03278,0.94144,0.80852,0.88776,0.69687,1.03264,0.63794,1.26609,0.000496,0.000496,0.000496
98,4456.34,0.66058,0.44001,1.02718,0.94258,0.80568,0.88714,0.69587,1.03297,0.63861,1.26611,0.000397,0.000397,0.000397
99,4498.11,0.65518,0.43268,1.02814,0.94234,0.8064,0.88793,0.69727,1.03252,0.64088,1.26713,0.000298,0.000298,0.000298
100,4540.31,0.64843,0.42959,1.02694,0.94384,0.80702,0.88833,0.69799,1.03286,0.64119,1.26893,0.000199,0.000199,0.000199
